timestamp calibVersion serialNumber ASIC_ID channel MDACCorrectionCode0_RAW MDACCorrectionCode1_RAW MDACCorrectionCode2_RAW MDACCorrectionCode3_RAW MDACCorrectionCode4_RAW MDACCorrectionCode5_RAW MDACCorrectionCode6_RAW MDACCorrectionCode7_RAW W_2ND_16_RAW W_2ND_24_RAW W_2ND_32_RAW W_2ND_64_RAW W_2ND_128_RAW W_2ND_224_RAW W_1ST_128_RAW W_1ST_256_RAW W_1ST_384_RAW W_1ST_640_RAW W_1ST_1024_RAW W_1ST_2048_RAW W_1ST_3584_RAW W_2ND_10_RAW W_2ND_6_RAW W_2ND_4_RAW W_2ND_2_RAW W_2ND_1_RAW W_2ND_0p5_RAW W_2ND_0p25_RAW MDACCorrectionCode0_DDPU MDACCorrectionCode1_DDPU MDACCorrectionCode2_DDPU MDACCorrectionCode3_DDPU MDACCorrectionCode4_DDPU MDACCorrectionCode5_DDPU MDACCorrectionCode6_DDPU MDACCorrectionCode7_DDPU SARCorrectionCode6 SARCorrectionCode7 SARCorrectionCode8 SARCorrectionCode9 SARCorrectionCode10 SARCorrectionCode11 SARCorrectionCode12 SARCorrectionCode13 SARCorrectionCode14 SARCorrectionCode15 SARCorrectionCode16 SARCorrectionCode17 SARCorrectionCode18 SARCorrectionCode19 SARCorrectionCode20
"3/9/2022 21:49:57" 4 169153 0 7 248.42525 4348.254000000001 4347.676937499999 4347.3556874999995 4349.0324375 4347.879687500001 4347.029625 4344.764187500001 15.278468749999998 23.77637500000001 31.295601250000015 61.97265625000001 124.34659374999998 216.9633125 122.80190624999994 246.42917999999986 368.9110787499998 614.6913987499997 983.0492974999995 1964.551607499999 3437.342462499998 10.0 6.0 4.0 2.0 1.0 0.5 0.25 994 18387 35777 53167 70563 87954 105343 122722 24 40 62 96 127 251 503 878 497 997 1492 2487 3977 7948 13906
"3/9/2022 21:53:39" 4 169153 0 8 226.37481249999996 4324.641874999999 4322.7855 4321.8156874999995 4325.11175 4322.7835625 4322.3998125 4320.049875 15.6254375 23.825818750000007 31.363218749999994 61.86693749999999 123.93987500000001 215.67146874999997 123.0811875 247.36671875000002 370.96750000000003 618.20934375 987.6941562500001 1975.5431562500003 3456.6039062500004 10.0 6.0 4.0 2.0 1.0 0.5 0.25 905 18204 35495 52782 70083 87374 104664 121944 24 40 63 96 126 249 499 868 495 995 1492 2487 3973 7948 13906
"3/10/2022 12:57:58" 5 169153 0 1 243.68506250000019 4341.1378125 4340.981937500001 4340.5445625 4342.1615 4340.3541875 4340.0774375 4337.3685 16.03703125 23.8069375 31.846343750000003 63.66484375 127.65912125000001 222.55154500000003 128.53724999999991 257.8072224999998 386.52524374999973 643.9570549999995 1029.6090262499993 2057.6214462499984 3601.3018424999973 10.0 6.0 4.0 2.0 1.0 0.5 0.25 975 18339 35703 53065 70434 87795 105156 122505 23 39 62 92 123 246 493 859 496 995 1493 2487 3976 7945 13906
"3/10/2022 13:6:4" 6 169153 0 1 243.2233749999998 4340.7688124999995 4340.007625 4340.297875 4341.733375 4339.911062499999 4340.157125 4337.2249375 16.076281249999997 23.762562499999987 31.77150000000001 63.21910374999999 126.55890625000005 220.34084875000002 128.37974999999997 257.58640125 386.06158624999995 643.1848637499999 1028.3834387499996 2055.0879774999994 3596.962971249999 10.0 6.0 4.0 2.0 1.0 0.5 0.25 973 18336 35696 53057 70424 87784 105144 122493 23 39 62 92 123 244 489 852 496 996 1493 2487 3976 7945 13906
"3/10/2022 13:9:40" 6 169153 0 2 272.5709374999999 4369.2685624999995 4370.307500000001 4370.0115625 4372.023875 4370.0168125 4370.0115 4367.2599375 16.0265 23.768218750000003 31.980187499999996 63.101625 126.70600000000005 220.66665624999996 129.23539874999994 259.2986062499999 388.41109874999984 646.6296737499998 1034.2465412499996 2066.2482949999994 3616.9276037499994 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1090 18567 36049 53529 71017 88497 105977 123446 23 38 62 91 123 243 487 848 497 997 1493 2486 3976 7944 13906
"3/10/2022 13:13:15" 6 169153 0 3 300.89406250000025 4397.881375 4398.6675 4399.000937499999 4400.0925 4398.4243125 4397.384625000001 4395.89475 15.68540625 22.837812500000005 30.234445 60.33687500000001 120.72246750000002 210.56827750000005 121.90778124999994 244.80684374999987 366.29671874999985 610.5639062499997 975.9604999999996 1949.4223749999992 3412.7352499999984 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1204 18795 36390 53986 71586 89180 106769 124353 24 41 64 93 123 246 492 858 497 998 1493 2488 3977 7943 13906
"3/10/2022 13:16:51" 6 169153 0 4 255.16262499999993 4353.022437500001 4351.894812500001 4351.7881875 4352.2953125 4350.4205 4350.958624999999 4348.48175 15.8336875 23.719143749999994 31.53096875 62.260906250000005 124.90509375000003 217.54853124999994 125.50874999999998 252.01699999999994 377.4589062499999 629.0355937499999 1005.7728749999998 2009.5188437499996 3517.651937499999 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1021 18433 35840 53247 70657 88058 105462 122856 24 40 63 94 125 246 494 860 496 996 1492 2487 3976 7944 13906
"3/10/2022 13:20:26" 6 169153 0 5 262.52837499999987 4360.0973125 4358.700375 4358.3578125 4359.6574375 4357.5986250000005 4358.4829375 4355.3465625 13.01784375 23.747968750000002 26.894875000000006 53.29231250000001 106.8885 185.95190624999992 88.19615624999996 176.8939999999999 265.2997187499999 441.28615624999975 705.5713749999995 1410.0379237499992 2468.1358762499985 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1050 18491 35925 53359 70797 88228 105662 123083 34 56 73 134 152 300 602 1048 497 997 1495 2486 3975 7944 13906
"3/10/2022 13:24:1" 6 169153 0 6 252.33262499999978 4349.9930625 4349.111187500001 4346.2428125 4348.020375 4345.033937499999 4345.5559375 4344.0406875 15.875 23.562281250000005 31.488103749999986 62.6293125 125.48719999999997 218.61459749999995 127.50731249999998 255.63631249999997 383.10440624999995 638.0130624999999 1020.4973749999999 2038.7204687499998 3568.6860624999995 10.0 6.0 4.0 2.0 1.0 0.5 0.25 1009 18409 35806 53191 70583 87963 105345 122721 23 39 62 92 123 244 489 852 497 996 1493 2486 3977 7944 13906
"3/10/2022 13:27:37" 6 169153 0 7 249.4792500000001 4348.5921875 4347.9916875 4348.02425 4349.4411875000005 4348.028875 4347.6124375 4345.595375 15.33371875 23.685468750000013 31.183740000000014 62.00384374999999 124.49846874999997 216.95290624999996 123.3515875 247.49604749999997 370.68264 617.56785625 987.5955749999999 1973.596505 3453.2607774999997 10.0 6.0 4.0 2.0 1.0 0.5 0.25 998 18392 35784 53176 70574 87966 105357 122739 24 40 62 95 126 250 501 874 497 997 1493 2487 3977 7947 13906
"3/10/2022 13:31:12" 6 169153 0 8 227.67599999999993 4325.4756875 4323.073875 4322.8776875 4325.249124999999 4323.393437500001 4323.0244375 4321.7865 15.67353125 23.809277500000007 31.562281249999998 62.59271874999999 125.39493749999995 218.1443124999999 124.97390625000004 250.9806562500001 376.3624375000001 627.0071875000001 1001.7931875000003 2003.7687812500003 3506.176343750001 10.0 6.0 4.0 2.0 1.0 0.5 0.25 911 18213 35505 52796 70097 87391 104683 121970 24 40 62 94 125 248 497 865 496 995 1493 2487 3973 7947 13906
"3/11/2022 13:4:51" 7 169153 0 1 240.25937499999986 4337.204 4336.544062499999 4336.6528124999995 4337.6323125 4336.776875 4336.12275 4333.8441875 15.916781250000001 23.928093750000002 32.07671875000001 63.841131250000025 127.51303125 222.46399375 129.60763124999994 260.15712374999987 389.8764574999999 649.6534774999998 1038.4883962499996 2075.3436762499996 3632.342328749999 10.0 6.0 4.0 2.0 1.0 0.5 0.25 961 18310 35656 53003 70353 87700 105045 122380 23 38 61 92 123 244 488 852 496 996 1493 2487 3976 7945 13906
